Student_ID,Branch,Python_Score,SQL_Score,Aptitude_Score,Communication_Score,Projects_Completed,Mock_Interviews_Attended
S0001,ECE,65,66,59,25,3,1
S0002,IT,76,100,93,69,3,5
S0003,ECE,89,87,89,93,4,5
S0004,CSE,79,69,60,60,4,2
S0005,ECE,71,78,74,56,4,5
S0006,CSE,50,64,46,32,2,4
S0007,CSE,43,62,37,7,2,3
S0008,CSE,53,45,64,56,2,0
S0009,ECE,62,66,39,41,3,3
S0010,IT,43,23,40,34,0,0
S0011,CSE,51,60,55,47,3,3
S0012,CSE,65,61,79,71,3,5
S0013,CSE,95,54,67,30,1,5
S0014,CSE,66,61,63,65,4,2
S0015,ECE,43,15,18,31,2,2
S0016,IT,67,58,45,53,3,0
S0017,MECH,46,39,23,16,2,4
S0018,ECE,47,63,71,32,3,4
S0019,IT,64,81,67,64,2,5
S0020,MECH,57,41,36,33,2,0
S0021,ECE,46,79,53,50,2,0
S0022,ECE,59,46,52,34,1,4
S0023,ECE,85,83,74,44,3,8
S0024,ECE,30,16,46,17,0,2
S0025,IT,92,80,65,70,7,2
S0026,IT,81,84,80,55,2,1
S0027,IT,81,78,52,56,3,2
S0028,IT,74,43,61,68,4,3
S0029,MECH,59,59,44,51,3,0
S0030,IT,86,62,80,72,4,3
S0031,ECE,58,62,72,49,3,4
S0032,IT,91,73,60,54,5,5
S0033,ECE,54,28,15,42,3,3
S0034,IT,46,76,89,75,3,1
S0035,CSE,77,54,63,58,3,3
S0036,ECE,83,73,90,56,6,4
S0037,IT,73,81,64,61,2,4
S0038,IT,88,57,83,61,2,5
S0039,ECE,62,79,55,69,2,0
S0040,IT,43,47,36,28,3,2
S0041,ECE,69,67,87,60,1,4
S0042,CSE,68,81,77,57,3,4
S0043,ECE,43,73,71,66,2,3
S0044,IT,59,59,35,28,3,3
S0045,CSE,81,76,62,59,3,4
S0046,ECE,67,76,81,84,4,9
S0047,CSE,59,47,63,60,2,3
S0048,IT,45,34,41,35,1,6
S0049,CSE,56,45,69,13,2,3
S0050,ECE,85,81,69,89,5,5
S0051,MECH,52,35,57,38,2,4
S0052,IT,82,51,74,48,2,3
S0053,CSE,67,64,55,43,4,4
S0054,CSE,24,25,12,8,0,2
S0055,CSE,59,46,51,11,0,1
S0056,CSE,78,73,65,56,4,2
S0057,CSE,87,74,56,65,5,6
S0058,CSE,40,23,19,24,2,0
S0059,MECH,73,64,71,45,4,6
S0060,ECE,50,53,48,42,2,1
S0061,IT,64,46,48,31,2,3
S0062,ECE,65,57,53,48,5,2
S0063,IT,64,39,35,25,2,0
S0064,CSE,57,64,32,61,2,5
S0065,ECE,47,39,49,19,2,3
S0066,ECE,62,95,74,57,3,5
S0067,CSE,72,51,78,76,4,5
S0068,IT,84,65,31,44,3,1
S0069,ECE,83,87,66,73,2,4
S0070,CSE,100,86,75,81,4,4
S0071,IT,54,55,42,22,3,3
S0072,CSE,50,44,58,26,2,3
S0073,IT,87,77,81,68,2,2
S0074,MECH,86,51,83,70,2,2
S0075,IT,66,76,66,48,4,2
S0076,IT,45,44,62,47,2,2
S0077,CSE,44,60,42,21,4,2
S0078,ECE,64,74,69,57,3,3
S0079,CSE,70,42,28,4,1,7
S0080,CSE,63,45,39,48,3,4
S0081,IT,72,57,36,29,2,0
S0082,IT,81,75,54,70,2,4
S0083,IT,95,85,68,48,3,2
S0084,ECE,40,39,65,42,3,3
S0085,CSE,62,52,34,33,1,3
S0086,ECE,56,54,63,44,1,4
S0087,IT,77,61,99,51,3,5
S0088,CSE,57,40,52,38,3,3
S0089,IT,41,51,59,32,2,2
S0090,CSE,68,50,37,42,1,3
S0091,ECE,60,54,55,55,2,4
S0092,CSE,69,62,59,43,2,3
S0093,CSE,100,100,96,100,5,6
S0094,IT,86,91,62,62,4,5
S0095,IT,58,66,53,39,2,4
S0096,CSE,66,36,32,14,2,2
S0097,ECE,81,75,86,94,1,4
S0098,ECE,52,63,47,52,3,4
S0099,IT,71,76,65,42,4,7
S0100,IT,37,34,45,25,3,4
S0101,MECH,51,55,52,85,5,4
S0102,CSE,53,48,54,31,2,3
S0103,MECH,61,66,69,56,3,3
S0104,ECE,52,66,59,43,2,5
S0105,MECH,72,88,82,70,4,6
S0106,CSE,62,83,67,43,0,5
S0107,MECH,48,57,55,34,1,1
S0108,CSE,73,61,72,58,1,2
S0109,MECH,50,47,59,73,3,4
S0110,IT,74,55,67,41,4,4
S0111,ECE,44,51,72,36,4,6
S0112,CSE,78,100,100,87,4,7
S0113,MECH,70,64,35,0,1,2
S0114,IT,66,72,92,51,3,5
S0115,ECE,40,35,19,28,1,5
S0116,CSE,36,45,47,3,1,2
S0117,CSE,58,79,51,40,2,3
S0118,MECH,28,32,61,36,3,4
S0119,ECE,79,46,77,59,3,5
S0120,ECE,61,50,55,28,4,3
